OrderID,Date,Product,Category,Region,Quantity,Price,Revenue
1001,2024-10-08,Phone,Electronics,Arusha,1,450000,450000
1002,2024-04-14,TV,Electronics,Morogoro,3,950000,2850000
1003,2025-08-27,Printer,Electronics,Mbeya,2,250000,500000
1004,2024-04-05,Laptop,Electronics,Arusha,1,850000,850000
1005,2025-09-08,TV,Electronics,Dar,9,950000,8550000
1006,2025-10-27,Printer,Electronics,Morogoro,4,250000,1000000
1007,2024-08-13,Printer,Electronics,Mbeya,7,250000,1750000
1008,2024-01-07,Router,Electronics,Tanga,5,90000,450000
1009,2024-12-14,Tablet,Electronics,Mwanza,7,320000,2240000
1010,2024-12-10,Tablet,Electronics,Dar,4,320000,1280000
1011,2024-04-09,Phone,Electronics,Mwanza,7,450000,3150000
1012,2024-09-27,Table,Furniture,Tanga,10,120000,1200000
1013,2025-07-03,Laptop,Electronics,Dar,8,850000,6800000
1014,2025-07-19,Sofa,Furniture,Mwanza,2,400000,800000
1015,2025-08-14,Router,Electronics,Arusha,6,90000,540000
1016,2025-11-08,Phone,Electronics,Arusha,1,450000,450000
1017,2024-08-26,Chair,Furniture,Tanga,2,60000,120000
1018,2024-10-11,Phone,Electronics,Mbeya,7,450000,3150000
1019,2025-01-14,Table,Furniture,Mwanza,3,120000,360000
1020,2025-12-19,TV,Electronics,Morogoro,5,950000,4750000
1021,2025-10-12,Phone,Electronics,Arusha,10,450000,4500000
1022,2024-06-16,Printer,Electronics,Mbeya,4,250000,1000000
1023,2025-10-17,Sofa,Furniture,Morogoro,5,400000,2000000
1024,2025-12-02,Printer,Electronics,Mwanza,4,250000,1000000
1025,2024-02-02,Laptop,Electronics,Tanga,4,850000,3400000
1026,2024-10-01,Table,Furniture,Dar,7,120000,840000
1027,2024-11-18,TV,Electronics,Arusha,10,950000,9500000
1028,2025-10-20,Bed,Furniture,Mbeya,7,550000,3850000
1029,2024-05-22,Tablet,Electronics,Arusha,5,320000,1600000
1030,2024-09-26,Printer,Electronics,Morogoro,9,250000,2250000
1031,2025-08-20,Router,Electronics,Mbeya,7,90000,630000
1032,2024-05-21,Table,Furniture,Dodoma,4,120000,480000
1033,2024-02-18,Bed,Furniture,Tanga,2,550000,1100000
1034,2025-10-04,Phone,Electronics,Arusha,3,450000,1350000
1035,2024-03-06,Sofa,Furniture,Mbeya,10,400000,4000000
1036,2025-04-24,Sofa,Furniture,Dodoma,10,400000,4000000
1037,2024-01-12,Chair,Furniture,Morogoro,9,60000,540000
1038,2024-09-30,Phone,Electronics,Tanga,9,450000,4050000
1039,2024-10-27,Table,Furniture,Mbeya,2,120000,240000
1040,2024-01-04,Tablet,Electronics,Morogoro,8,320000,2560000
1041,2024-07-01,Chair,Furniture,Dodoma,9,60000,540000
1042,2025-10-16,Phone,Electronics,Dodoma,5,450000,2250000
1043,2024-06-05,Router,Electronics,Mwanza,4,90000,360000
1044,2025-06-27,Tablet,Electronics,Dar,9,320000,2880000
1045,2025-05-15,Router,Electronics,Dar,6,90000,540000
1046,2024-11-10,Phone,Electronics,Arusha,6,450000,2700000
1047,2025-08-03,Laptop,Electronics,Dar,4,850000,3400000
1048,2024-03-11,Phone,Electronics,Tanga,8,450000,3600000
1049,2024-05-11,Printer,Electronics,Morogoro,3,250000,750000
1050,2024-06-18,Bed,Furniture,Mwanza,9,550000,4950000
1051,2025-03-09,Printer,Electronics,Arusha,10,250000,2500000
1052,2025-12-31,Printer,Electronics,Mwanza,4,250000,1000000
1053,2025-03-24,Sofa,Furniture,Dodoma,6,400000,2400000
1054,2024-09-10,Bed,Furniture,Arusha,2,550000,1100000
1055,2024-01-22,Phone,Electronics,Dodoma,6,450000,2700000
1056,2025-08-25,Printer,Electronics,Arusha,4,250000,1000000
1057,2025-12-25,Laptop,Electronics,Morogoro,2,850000,1700000
1058,2024-03-10,Laptop,Electronics,Dar,4,850000,3400000
1059,2025-06-10,Table,Furniture,Arusha,2,120000,240000
1060,2024-08-07,Chair,Furniture,Dodoma,8,60000,480000
1061,2025-08-13,Tablet,Electronics,Mbeya,10,320000,3200000
